"doc_id","text","dropped"
"2034 UgxarS0ifwAyMVJ24nV4AaABAg","BIDEN💪💪💪💪✌️",NA
"2035 Ugyu1FuEZznuTvr6sux4AaABAg","❤❤👍👍",NA
"2039 UgyZErB3QP9trmFv4DR4AaABAg","Ủy",NA
"2051 UgyIJAc6dsEHokqvfGh4AaABAg","Оoh оoh , my god😮",NA
"2062 Ugzet3jzWhg6nWrHH3V4AaABAg","Trump❤",NA
"2065 Ugyd2ffnP_26HB3ry_h4AaABAg","The silences are deafening.",NA
"2084 UgwYidRuFQpLsreyGft4AaABAg",".yes...ader...alik..gut.moning.tengkiu..gut.moning..",NA
"2086 UgxyvfCPI5-oTGehuX94AaABAg","@2/28/24/(ernesto❤❤culanag 0417,1974.)@/7/2/24.",NA
"2091 UgyCOXKJRbxcRcNE3554AaABAg","Congratulations in advance Trump.💪💪",NA
"2094 UgyxERvddfDHWLlOunF4AaABAg","Trimp won!",NA
"2104 Ugw-blMFZ0K5Fe0wnph4AaABAg","👍👍👍",NA
"2120 UgzrXNmTghDPa1HR8D54AaABAg","Как интересно было бы послушать дебаты путина и навального, или путина и ходорковского, путина и немцова",NA
"2130 UgzJDGAl3eVFD_RmQWl4AaABAg","😂😂😂😂😂",NA
"2155 UgwWO8RQ-FXYusKMcxF4AaABAg","Dosť bolo okupovania a vojen.🕊️🕊️🌏🕊️🌎🕊️",NA
"2166 UgyLvkkdW6c-EqO_R9N4AaABAg","All I see here is Peter obi and balablue bulaba",NA
"2182 UgwcJGi853R8lShEXjt4AaABAg","Trumpppppppp❤❤❤❤",NA
"2183 UgxmKmI1qw2L_LoRtUV4AaABAg","they  cleaned   it   up,",NA
"2206 Ugx0IcLo_VAsJOYrbTJ4AaABAg","🙏🙏🙏🙏",NA
"2210 UgwG3Nw-kuTLEyrIzVF4AaABAg","I’m homeless while gimmegrants get 4 star hotel accommodation.",NA
"2241 UgznpRZp4VRHCmwcYrJ4AaABAg","25:36 my comeback to any argument from now on 😂😂",NA
"2261 Ugwioa6TzR005P7zqyd4AaABAg","А все равно смешно!",NA
"2267 UgyASrB5yOwphRu_wSV4AaABAg","25:30",NA
"2268 UgwtVpmgKnbtJ_V5fBF4AaABAg","11:07",NA
"2275 UgzhGHbL36wOSry0yO94AaABAg","ട്രമ്പണ്ണൻ ❤❤😂",NA
"2281 UgzD7Tda_R_Je_BTUOR4AaABAg","USA😂",NA
"2307 Ugwaai2pipoHuJKfPu54AaABAg","я не могу найти ни одного комментария в поддержку Байдена.",NA
"2367 UgxHQ1OL67-UCmi45uJ4AaABAg","You're son doing Coke hahaha",NA
"2385 Ugyhr56aHzl-1GCUokl4AaABAg","Man that’s a juicy fart at 1:11:55!!",NA
"2443 UgxGfYSfWYsENUWj4dp4AaABAg","3 bags at Walmart boom $400 😒",NA
"2483 UgzWMRPNHJsfDGXKnuN4AaABAg","🕛",NA
"2484 Ugyzed2D71deTifbCz54AaABAg","Beavis and Butthead in the flesh….",NA
"2495 Ugx9aZdRBTizi-IoXdB4AaABAg","1:11:54",NA
"2496 UgxxDDMDdaJFZRZLoE54AaABAg","😢 USA",NA
"2521 UgyJfXuvevnx1pnls5B4AaABAg","quién es el padre de mi abuelo?",NA
"2528 UgyK0S-2jQykcOxV4sJ4AaABAg","Deportation",NA
"2553 Ugxbs7unU6qYPNiiNJl4AaABAg","No way!",NA
"2576 Ugxm289BcpqzOXtHYyR4AaABAg","Ghaza is chaos through both of these suspects",NA
"2592 UgzmH0A22VGhrjZ_IMl4AaABAg","We were",NA
